,actual_importance,null_importance_0,null_importance_1,null_importance_2,null_importance_3,null_importance_4,null_mean,score_rank
count_Clip,562.7275753219923,0.0,0.0,0.0,0.0,1.7925499280293782,0.35850998560587566,31.0
count_Assessment_curr_world,557.3374835650126,1.3708750406901042,0.0,0.0,0.0,9.522858381271362,2.1787466843922934,67.0
time_Game,555.6346638997396,6.654450098673503,1.523924986521403,2.832625071207682,7.373449961344401,23.14133342107137,8.305156707763672,229.0
overall_sum_30614231,551.9270144701004,0.0,3.384066581726074,3.2390583356221514,0.0,5.131849924723308,2.3509949684143066,73.0
363c86c9,543.1375919183096,1.2910250027974446,1.2148333390553792,1.3139666716257732,0.0,0.0,0.7639650026957193,35.0
num_round_list,540.7590508262316,3.059666633605957,0.0,7.2635165850321455,6.166216691335043,25.209191640218098,8.339718310038247,241.0
num_round_max_std,538.4361637830734,2.3251166343688965,0.0,3.6563249429066977,12.34350848197937,6.670016527175902,4.998993317286174,141.0
mean_num_miss56817e2b,536.6922880212466,2.0434667269388833,0.0,1.8449500401814778,0.0,15.831066449483236,3.94389664332072,117.0
overall_sum_84538528,526.5748687386513,4.77192497253418,0.0,3.739683469136556,3.09380841255188,10.14418339729309,4.349920050303142,124.0
overall_mean_e694a35b,524.5597038269043,1.5769500732421875,2.4376749197642007,4.704283237457275,3.234741687774658,12.600483338038126,4.91082665125529,145.0
overall_mean_d3f1e122,523.8892637292545,7.342708269755046,1.1958916982014973,6.84915828704834,2.934075037638346,11.966849883397419,6.05773663520813,180.0
overall_sum_16dffff1,519.5554925998051,0.0,0.0,23.7876250743866,0.0,4.106258392333984,5.578776693344117,164.0
Cart Balancer (Assessment),514.6184902787209,8.06309175491333,0.0,5.9352833429972325,7.480033556620279,16.854158322016396,7.666513395309448,230.0
overall_mean_499edb7c,514.2307572762172,0.0,2.25730832417806,15.78731656074524,3.118783315022786,6.781358480453491,5.588953336079915,170.0
4090,507.5952378908793,1.5827333132425945,1.1863000392913818,10.003375053405762,2.651050011316935,2.4812417030334473,3.5809400240580245,116.0
overall_mean_5f0eb72c,505.30193465948105,0.0,0.0,2.1251416206359863,5.254308382670085,16.154300212860107,4.706750043233236,146.0
last_1_accum_avg_group,503.3540264368057,1.288533369700114,0.0,2.5817083517710366,8.498241583506266,1.6375166575113933,2.8011999924977617,88.0
sum_num_miss,500.1006449262301,1.8623000780741374,0.0,4.4329666296641035,2.9565916061401367,3.1769917011260986,2.485770003000895,81.0
overall_mean_08fd73f3,491.19263273477554,0.0,2.1194167137145996,10.108274936676025,0.0,15.986200094223022,5.64277834892273,182.0
3021,484.99915528297424,3.629641691843669,0.0,4.290374994277954,0.0,6.788600126902263,2.941723362604777,101.0
overall_mean_28520915,480.8642727136612,3.094008286794027,2.0579749743143716,4.318825006484985,4.283725023269653,17.02323325475057,6.1555533091227215,206.0
overall_sum_38074c54,480.41249676545465,9.188841660817465,1.4206916491190593,2.680933316548665,0.0,0.0,2.6580933252970373,91.0
overall_sum_392e14df,477.11962280670804,1.4846165974934895,7.28665828704834,3.270899931589762,2.462441603342692,16.879500309626263,6.27682334582011,211.0
